

Watch Newborn
0LLW1 => L => age: 0 => lw: 1 || 1 acctivities 
9NLW1 => N => age: 9 => lw: 1 || 1 acctivities 
9NLW2 => N => age: 9 => lw: 2 || 1 acctivities 
9SLW1 => S => age: 9 => lw: 1 || 2 acctivities 
9SLW2 => S => age: 9 => lw: 2 || 2 acctivities 
9VLW1 => V => age: 9 => lw: 1 || 1 acctivities 
9VLW2 => V => age: 9 => lw: 2 || 1 acctivities 
9MLW1 => M => age: 9 => lw: 1 || 2 acctivities 
9MLW2 => M => age: 9 => lw: 2 || 1 acctivities 
9MLW3 => M => age: 9 => lw: 3 || 1 acctivities 
9ELW1 => E => age: 9 => lw: 1 || 1 acctivities 
9ELW2 => E => age: 9 => lw: 2 || 1 acctivities 


Watch 10-11
10LLW1 => L => age: 10 => lw: 1 || 2 acctivities 
10LLW2 => L => age: 10 => lw: 2 || 2 acctivities 
10NLW1 => N => age: 10 => lw: 1 || 1 acctivities 
10NLW2 => N => age: 10 => lw: 2 || 1 acctivities 
10SLW1 => S => age: 10 => lw: 1 || 1 acctivities 
10SLW2 => S => age: 10 => lw: 2 || 1 acctivities 
10VLW1 => V => age: 10 => lw: 1 || 1 acctivities 
10VLW2 => V => age: 10 => lw: 2 || 1 acctivities 
10MLW1 => M => age: 10 => lw: 1 || 1 acctivities 
10MLW2 => M => age: 10 => lw: 2 || 1 acctivities 
10ELW1 => E => age: 10 => lw: 1 || 1 acctivities 
10ELW2 => E => age: 10 => lw: 2 || 1 acctivities 


Watch 12-14
12LLW1 => L => age: 12 => lw: 1 || 1 acctivities 
12LLW2 => L => age: 12 => lw: 2 || 1 acctivities 
12NLW1 => N => age: 12 => lw: 1 || 1 acctivities 
12NLW2 => N => age: 12 => lw: 2 || 1 acctivities 
12SLW1 => S => age: 12 => lw: 1 || 2 acctivities 
12SLW2 => S => age: 12 => lw: 2 || 1 acctivities 
12SLW3 => S => age: 12 => lw: 3 || 1 acctivities 
12VLW1 => V => age: 12 => lw: 1 || 1 acctivities 
12VLW2 => V => age: 12 => lw: 2 || 1 acctivities 
12MLW1 => M => age: 12 => lw: 1 || 2 acctivities 
12MLW2 => M => age: 12 => lw: 2 || 1 acctivities 
12MLW3 => M => age: 12 => lw: 3 || 2 acctivities 
12ELW1 => E => age: 12 => lw: 1 || 1 acctivities 
12ELW2 => E => age: 12 => lw: 2 || 1 acctivities 


Watch 15-17
15LLW1 => L => age: 15 => lw: 1 || 1 acctivities 
15LLW2 => L => age: 15 => lw: 2 || 1 acctivities 
15NLW1 => N => age: 15 => lw: 1 || 1 acctivities 
15NLW2 => N => age: 15 => lw: 2 || 1 acctivities 
15SLW1 => S => age: 15 => lw: 1 || 1 acctivities 
15SLW2 => S => age: 15 => lw: 2 || 1 acctivities 
15SLW3 => S => age: 15 => lw: 3 || 1 acctivities 
15VLW1 => V => age: 15 => lw: 1 || 1 acctivities 
15VLW2 => V => age: 15 => lw: 2 || 1 acctivities 
15MLW1 => M => age: 15 => lw: 1 || 1 acctivities 
15MLW2 => M => age: 15 => lw: 2 || 1 acctivities 
15MLW3 => M => age: 15 => lw: 3 || 1 acctivities 
15ELW1 => E => age: 15 => lw: 1 || 1 acctivities 
15ELW2 => E => age: 15 => lw: 2 || 1 acctivities 


Watch 18-20
18LLW1 => L => age: 18 => lw: 1 || 2 acctivities 
18LLW2 => L => age: 18 => lw: 2 || 2 acctivities 
18NLW1 => N => age: 18 => lw: 1 || 1 acctivities 
18NLW2 => N => age: 18 => lw: 2 || 1 acctivities 
18SLW1 => S => age: 18 => lw: 1 || 1 acctivities 
18SLW2 => S => age: 18 => lw: 2 || 2 acctivities 
18SLW3 => S => age: 18 => lw: 3 || 1 acctivities 
18VLW1 => V => age: 18 => lw: 1 || 1 acctivities 
18VLW2 => V => age: 18 => lw: 2 || 1 acctivities 
18MLW1 => M => age: 18 => lw: 1 || 1 acctivities 
18MLW2 => M => age: 18 => lw: 2 || 3 acctivities 
18ELW1 => E => age: 18 => lw: 1 || 1 acctivities 
18ELW2 => E => age: 18 => lw: 2 || 1 acctivities 


Watch 21-23
21LLW1 => L => age: 21 => lw: 1 || 3 acctivities 
21LLW2 => L => age: 21 => lw: 2 || 2 acctivities 
21NLW1 => N => age: 21 => lw: 1 || 2 acctivities 
21NLW2 => N => age: 21 => lw: 2 || 2 acctivities 
21SLW1 => S => age: 21 => lw: 1 || 2 acctivities 
21SLW2 => S => age: 21 => lw: 2 || 2 acctivities 
21SLW3 => S => age: 21 => lw: 3 || 1 acctivities 
21SLW4 => S => age: 21 => lw: 4 || 2 acctivities 
21VLW1 => V => age: 21 => lw: 1 || 2 acctivities 
21VLW2 => V => age: 21 => lw: 2 || 2 acctivities 
21MLW1 => M => age: 21 => lw: 1 || 2 acctivities 
21MLW2 => M => age: 21 => lw: 2 || 2 acctivities 
21ELW1 => E => age: 21 => lw: 1 || 2 acctivities 
21ELW2 => E => age: 21 => lw: 2 || 2 acctivities 


Watch 24-26
24LLW1 => L => age: 24 => lw: 1 || 2 acctivities 
24LLW2 => L => age: 24 => lw: 2 || 2 acctivities 
24LLW3 => L => age: 24 => lw: 3 || 2 acctivities 
24LLW4 => L => age: 24 => lw: 4 || 2 acctivities 
24NLW1 => N => age: 24 => lw: 1 || 2 acctivities 
24NLW2 => N => age: 24 => lw: 2 || 2 acctivities 
24SLW1 => S => age: 24 => lw: 1 || 2 acctivities 
24SLW2 => S => age: 24 => lw: 2 || 4 acctivities 
24SLW3 => S => age: 24 => lw: 3 || 2 acctivities 
24VLW1 => V => age: 24 => lw: 1 || 2 acctivities 
24VLW2 => V => age: 24 => lw: 2 || 2 acctivities 
24VLW3 => V => age: 24 => lw: 3 || 2 acctivities 
24MLW1 => M => age: 24 => lw: 1 || 2 acctivities 
24MLW2 => M => age: 24 => lw: 2 || 2 acctivities 
24ELW1 => E => age: 24 => lw: 1 || 2 acctivities 
24ELW2 => E => age: 24 => lw: 2 || 2 acctivities 


Watch 27-29
27LLW1 => L => age: 27 => lw: 1 || 2 acctivities 
27LLW2 => L => age: 27 => lw: 2 || 2 acctivities 
27LLW3 => L => age: 27 => lw: 3 || 2 acctivities 
27NLW1 => N => age: 27 => lw: 1 || 2 acctivities 
27NLW2 => N => age: 27 => lw: 2 || 2 acctivities 
27SLW1 => S => age: 27 => lw: 1 || 2 acctivities 
27SLW2 => S => age: 27 => lw: 2 || 2 acctivities 
27VLW1 => V => age: 27 => lw: 1 || 2 acctivities 
27VLW2 => V => age: 27 => lw: 2 || 2 acctivities 
27MLW1 => M => age: 27 => lw: 1 || 2 acctivities 
27MLW2 => M => age: 27 => lw: 2 || 2 acctivities 
27ELW1 => E => age: 27 => lw: 1 || 2 acctivities 
27ELW2 => E => age: 27 => lw: 2 || 2 acctivities 
27ELW3 => E => age: 27 => lw: 3 || 2 acctivities 


Watch 30-32
30LLW1 => L => age: 30 => lw: 1 || 2 acctivities 
30LLW2 => L => age: 30 => lw: 2 || 2 acctivities 
30LLW3 => L => age: 30 => lw: 3 || 2 acctivities 
30NLW1 => N => age: 30 => lw: 1 || 2 acctivities 
30NLW2 => N => age: 30 => lw: 2 || 2 acctivities 
30NLW3 => N => age: 30 => lw: 3 || 2 acctivities 
30SLW1 => S => age: 30 => lw: 1 || 2 acctivities 
30SLW2 => S => age: 30 => lw: 2 || 2 acctivities 
30VLW1 => V => age: 30 => lw: 1 || 2 acctivities 
30VLW2 => V => age: 30 => lw: 2 || 2 acctivities 
30MLW1 => M => age: 30 => lw: 1 || 2 acctivities 
30MLW2 => M => age: 30 => lw: 2 || 2 acctivities 
30ELW1 => E => age: 30 => lw: 1 || 2 acctivities 
30ELW2 => E => age: 30 => lw: 2 || 2 acctivities 


Watch 33-35
33LLW1 => L => age: 33 => lw: 1 || 2 acctivities 
33LLW2 => L => age: 33 => lw: 2 || 2 acctivities 
33NLW1 => N => age: 33 => lw: 1 || 2 acctivities 
33NLW2 => N => age: 33 => lw: 2 || 2 acctivities 
33SLW1 => S => age: 33 => lw: 1 || 2 acctivities 
33SLW2 => S => age: 33 => lw: 2 || 2 acctivities 
33VLW1 => V => age: 33 => lw: 1 || 2 acctivities 
33VLW2 => V => age: 33 => lw: 2 || 2 acctivities 
33MLW1 => M => age: 33 => lw: 1 || 2 acctivities 
33MLW2 => M => age: 33 => lw: 2 || 2 acctivities 
33ELW1 => E => age: 33 => lw: 1 || 1 acctivities 
33ELW2 => E => age: 33 => lw: 2 || 2 acctivities 


Watch 36-41
36LLW1 => L => age: 36 => lw: 1 || 2 acctivities 
36LLW2 => L => age: 36 => lw: 2 || 2 acctivities 
36NLW1 => N => age: 36 => lw: 1 || 2 acctivities 
36NLW2 => N => age: 36 => lw: 2 || 2 acctivities 
36SLW1 => S => age: 36 => lw: 1 || 2 acctivities 
36SLW2 => S => age: 36 => lw: 2 || 2 acctivities 
36VLW1 => V => age: 36 => lw: 1 || 2 acctivities 
36VLW2 => V => age: 36 => lw: 2 || 2 acctivities 
36MLW1 => M => age: 36 => lw: 1 || 2 acctivities 
36MLW2 => M => age: 36 => lw: 2 || 2 acctivities 
36ELW1 => E => age: 36 => lw: 1 || 1 acctivities 
36ELW2 => E => age: 36 => lw: 2 || 1 acctivities 


Watch 42-47
42LLW1 => L => age: 42 => lw: 1 || 2 acctivities 
42LLW2 => L => age: 42 => lw: 2 || 2 acctivities 
42LLW3 => L => age: 42 => lw: 3 || 2 acctivities 
42NLW1 => N => age: 42 => lw: 1 || 2 acctivities 
42NLW2 => N => age: 42 => lw: 2 || 2 acctivities 
42SLW1 => S => age: 42 => lw: 1 || 2 acctivities 
42SLW2 => S => age: 42 => lw: 2 || 2 acctivities 
42VLW1 => V => age: 42 => lw: 1 || 2 acctivities 
42VLW2 => V => age: 42 => lw: 2 || 2 acctivities 
42MLW1 => M => age: 42 => lw: 1 || 1 acctivities 
42MLW2 => M => age: 42 => lw: 2 || 1 acctivities 
42ELW1 => E => age: 42 => lw: 1 || 2 acctivities 
42ELW2 => E => age: 42 => lw: 2 || 2 acctivities 


Watch 48-53
48LLW1 => L => age: 48 => lw: 1 || 2 acctivities 
48LLW2 => L => age: 48 => lw: 2 || 2 acctivities 
48LLW3 => L => age: 48 => lw: 3 || 2 acctivities 
48NLW1 => N => age: 48 => lw: 1 || 1 acctivities 
48NLW2 => N => age: 48 => lw: 2 || 2 acctivities 
48SLW1 => S => age: 48 => lw: 1 || 2 acctivities 
48SLW2 => S => age: 48 => lw: 2 || 2 acctivities 
48VLW1 => V => age: 48 => lw: 1 || 2 acctivities 
48VLW2 => V => age: 48 => lw: 2 || 2 acctivities 
48MLW1 => M => age: 48 => lw: 1 || 2 acctivities 
48MLW2 => M => age: 48 => lw: 2 || 2 acctivities 
48ELW1 => E => age: 48 => lw: 1 || 2 acctivities 
48ELW2 => E => age: 48 => lw: 2 || 1 acctivities 


Watch 54-59
54LLW1 => L => age: 54 => lw: 1 || 2 acctivities 
54LLW2 => L => age: 54 => lw: 2 || 2 acctivities 
54NLW1 => N => age: 54 => lw: 1 || 2 acctivities 
54NLW2 => N => age: 54 => lw: 2 || 2 acctivities 
54SLW1 => S => age: 54 => lw: 1 || 2 acctivities 
54SLW2 => S => age: 54 => lw: 2 || 2 acctivities 
54VLW1 => V => age: 54 => lw: 1 || 2 acctivities 
54VLW2 => V => age: 54 => lw: 2 || 2 acctivities 
54MLW1 => M => age: 54 => lw: 2 || 2 acctivities 
54MLW2 => M => age: 54 => lw: 2 || 2 acctivities 
54ELW1 => E => age: 54 => lw: 1 || 2 acctivities 
54ELW2 => E => age: 54 => lw: 2 || 2 acctivities 


Play Newborn
P0LLW1.1 => L => 0 => match
P0LLW2.1 => L => 0 => match
P0LLW2.2 => L => 0 => match
P0NLW1.1 => N => 0 => match
P0NLW1.2 => N => 0 => match
P0NLW2.1 => N => 0 => match
P0NLW2.2 => N => 0 => match
P0SLW1.1 => S => 0 => match
P0SLW2.1 => S => 0 => match
P0VLW1.1 => V => 0 => match
P0VLW2.1 => V => 0 => match
P0VLW3.1 => V => 0 => match
P0MLW1.1 => M => 0 => match
P0MLW1.2 => M => 0 => match
P0MLW2.1 => M => 0 => match
P0ELW1.1 => E => 0 => match
P0ELW2.1 => E => 0 => match


Play 1 Month
P1LLW1.1 => L => 1 => match
P1LLW1.2 => L => 1 => match
P1LLW2.1 => L => 1 => match
P1NLW1.1 => N => 1 => match
P1NLW2.1 => N => 1 => match
P1SLW1.1 => S => 1 => match
P1SLW2.1 => S => 1 => match
P1VLW1.1 => V => 1 => match
P1VLW1.2 => V => 1 => match
P1VLW2.1 => V => 1 => match
P1MLW1.1 => M => 1 => match
P1MLW2.1 => M => 1 => match
P1MLW2.2 => M => 1 => match
P1ELW1.1 => E => 1 => match
P1ELW2.1 => E => 1 => match
P1ELW3.1 => E => 1 => match


Play 2 Months
P2LLW1.1 => L => 2 => match
P2LLW2.1 => L => 2 => match
P2NLW1.1 => N => 2 => match
P2NLW1.2 => N => 2 => match
P2NLW2.1 => N => 2 => match
P2NLW2.2 => N => 2 => match
P2SLW1.1 => S => 2 => match
P2SLW2.1 => S => 2 => match
P2VLW1.1 => V => 2 => match
P2VLW2.1 => V => 2 => match
P2VLW2.2 => V => 2 => match
P2MLW1.1 => M => 2 => match
P2MLW1.2 => M => 2 => match
P2MLW2.1 => M => 2 => match
P2ELW1.1 => E => 2 => match
P2ELW2.1 => E => 2 => match


Play 3 Months
P3LLW1.1 => L => 3 => match
P3LLW2.1 => L => 3 => match
P3NLW1.1 => N => 3 => match
P3NLW2.1 => N => 3 => match
P3SLW1.1 => S => 3 => match
P3SLW1.2 => S => 3 => match
P3SLW2.1 => S => 3 => match
P3VLW1.1 => V => 3 => match
P3VLW2.1 => V => 3 => match
P3VLW3.1 => V => 3 => match
P3MLW1.1 => M => 3 => match
P3MLW2.1 => M => 3 => match
P3MLW3.1 => M => 3 => match
P3MLW3.2 => M => 3 => match
P3ELW1.1 => E => 3 => match
P3ELW2.1 => E => 3 => match


Play 4 months
P4LLW1.1 => L => 4 => match
P4LLW2.1 => L => 4 => match
P4NLW1.1 => N => 4 => match
P4NLW2.1 => N => 4 => match
P4SLW2.2 => S => 4 => match
P4SLW2.1 => S => 4 => match
P4VLW1.1 => V => 4 => match
P4VLW2.1 => V => 4 => match
P4MLW1.1 => M => 4 => match
P4MLW1.2 => M => 4 => match
P4MLW2.1 => M => 4 => match
P4MLW2.2 => M => 4 => match
P4MLW3.1 => M => 4 => match
P4MLW3.2 => M => 4 => match
P4MLW1.1 => E => 4 => match
P4ELW1.2 => E => 4 => match
P4ELW2.1 => E => 4 => match
P4ELW2.2 => E => 4 => match


Play 5 months
P55LW1.1 => L => 5 => match
P5LLW2.1 => L => 5 => match
P5NLW1.1 => N => 5 => match
P5NLW2.1 => N => 5 => match
P5SLW1.1 => S => 5 => match
P5SLW1.2 => S => 5 => match
P5SLW2.1 => S => 5 => match
P5VLW1.1 => V => 5 => match
P5VLW2.1 => V => 5 => match
P5MLW1.1 => M => 5 => match
P5MLW2.2 => M => 5 => match
P5MLW2.1 => M => 5 => match
P5MLW2.2 => M => 5 => match
P5ELW1.1 => E => 5 => match
P5ELW2.1 => E => 5 => match


Play 6 Months
P6LLW1.1 => L => 6 => match
P6LLW1.2 => L => 6 => match
P6LLW2.1 => L => 6 => match
P6LLW2.2 => L => 6 => match
P6NLW1.1 => N => 6 => match
P6NLW2.1 => N => 6 => match
P6NLW2.2 => N => 6 => match
P6SLW1.1 => S => 6 => match
P6SLW2.1 => S => 6 => match
P6VLW1.1 => V => 6 => match
P6VLW2.1 => V => 6 => match
P6MLW1.1 => M => 6 => match
P6MLW1.2 => M => 6 => match
P6MLW2.1 => M => 6 => match
P6MLW2.2 => M => 6 => match
P6ELW1.1 => E => 6 => match
P6ELW2.1 => E => 6 => match


Play 7 Months
P7LLW1.1 => L => 7 => match
P7LLW2.1 => L => 7 => match
P7NLW1.1 => N => 7 => match
P7NLW2.1 => N => 7 => match
P7SLW1.1 => S => 7 => match
P7SLW2.1 => S => 7 => match
P7SLW2.2 => S => 7 => match
P7VLW1.1 => V => 7 => match
P7VLW2.1 => V => 7 => match
P7MLW1.1 => M => 7 => match
P7MLW1.2 => M => 7 => match
P7MLW2.1 => M => 7 => match
P7ELW1.1 => E => 7 => match
P7ELW2.1 => E => 7 => match


Play 8 Months
P8LLW1.1 => L => 8 => match
P8LLW1.2 => L => 8 => match
P8LLW2.1 => L => 8 => match
P8NLW1.1 => N => 8 => match
P8NLW2.1 => N => 8 => match
P8NLW2.2 => N => 8 => match
P8SLW1.1 => S => 8 => match
P8SLW1.2 => S => 8 => match
P8SLW2.1 => S => 8 => match
P8VLW1.1 => V => 8 => match
P8VLW2.1 => V => 8 => match
P8VLW2.2 => V => 8 => match
P8MLW1.1 => M => 8 => match
P8MLW2.1 => M => 8 => match
P8MLW2.2 => M => 8 => match
P8MLW3.1 => M => 8 => match
P8MLW3.2 => M => 8 => match
P8MLW4.1 => M => 8 => match
P8MLW4.2 => M => 8 => match
P8ELW1.1 => E => 8 => match
P8ELW2.1 => E => 8 => match


Play 9 Months
P9LLW1.1 => L => 9 => match
P9LLW1.2 => L => 9 => match
P9LLW2.1 => L => 9 => match
P9NLW1.1 => N => 9 => match
P9NLW2.1 => N => 9 => match
P9SLW1.1 => S => 9 => match
P9SLW1.2 => S => 9 => match
P9SLW2.1 => S => 9 => match
P9SLW2.2 => S => 9 => match
P9VLW1.1 => V => 9 => match
P9VLW2.1 => V => 9 => match
P9MLW1.1 => M => 9 => match
P9MLW1.2 => M => 9 => match
P9MLW2.1 => M => 9 => match
P9MLW3.1 => M => 9 => match
P9ELW1.1 => E => 9 => match
P9ELW2.1 => E => 9 => match


Play 10-11 Months
P10LLW1.2 => L => 10 => match
P10LLW1.1 => L => 10 => match
P10LLW2.1 => L => 10 => match
P10LLW2.2 => L => 10 => match
P10NLW1.1 => N => 10 => match
P10NLW2.1 => N => 10 => match
P10SLW1.1 => S => 10 => match
P10SLW2.1 => S => 10 => match
P10VLW1.1 => V => 10 => match
P10VLW2.1 => V => 10 => match
P10MLW1.1 => M => 10 => match
P10MLW2.1 => M => 10 => match
P10ELW1.1 => E => 10 => match
P10ELW2.1 => E => 10 => match


Play 12-14
P12LLW1.1 => L => 12 => match
P12LLW2.1 => L => 12 => match
P12NLW1.1 => N => 12 => match
P12NLW2.1 => N => 12 => match
P12SLW1.1 => S => 12 => match
P12SLW1.2 => S => 12 => match
P12SLW2.1 => S => 12 => match
P12SLW3.1 => S => 12 => match
P12SLW3.1 => S => 12 => match
P12VLW1.1 => V => 12 => match
P12VLW2.1 => V => 12 => match
P12MLW1.1 => M => 12 => match
P12MLW1.2 => M => 12 => match
P12MLW2.1 => M => 12 => match
P12MLW3.1 => M => 12 => match
P12MLW3.2 => M => 12 => match
P12ELW1.1 => E => 12 => match
P12ELW2.1 => E => 12 => match


Play 15-17
P15LLW1.1 => L => 15 => match
P15LLW2.1 => L => 15 => match
P15NLW1.1 => N => 15 => match
P15NLW2.1 => N => 15 => match
P15SLW1.1 => S => 15 => match
P15SLW2.1 => S => 15 => match
P15SLW3.1 => S => 15 => match
P15VLW1.1 => V => 15 => match
P15VLW2.1 => V => 15 => match
P15MLW1.1 => M => 15 => match
P15MLW2.1 => M => 15 => match
P15MLW3.1 => N => 15 => match
P15ELW1.1 => E => 15 => match
P15ELW2.1 => E => 15 => match
P15ELW2.1 => E => 15 => match


Play 18-20
P18LLW1.1 => L => 18 => match
P18LLW1.2 => L => 18 => match
P18LLW2.1 => L => 18 => match
P19LLW2.2 => L => 18 => match
P18NLW1.1 => N => 18 => match
P18NLW2.1 => N => 18 => match
P18SLW1.1 => S => 18 => match
P18SLW2.1 => S => 18 => match
P18SLW2.2 => S => 18 => match
P18SLW3.1 => S => 18 => match
P18VLW1.1 => V => 18 => match
P18VLW2.1 => V => 18 => match
P18MLW1.1 => M => 18 => match
P18MLW1.2 => M => 18 => match
P18MLW2.1 => M => 18 => match
P18MLW2.2 => M => 18 => match
P18ELW1.1 => E => 18 => match
P18ELW2.1 => E => 18 => match


Play 21-23
P21LLW1.1 => L => 21 => match
P21LLW1.2 => L => 21 => match
P21LLW1.3 => L => 21 => match
